0,1,1,0,1,1,0,2,3,1,2,1,0,1,1,3,0,1,1,1,0,1,1,1,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,6,6,7,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0,8,9,9,10,10,10,10,10,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,1,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,11,9,9,9,9,10,10,10,10,10,9,9,9,10,10,10,8,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,1,0,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,10,10,10,10,10,10,10,9,9,9,9,11,9,9,9,9,11,9,10,9,8,2,2,2,2,2,2,2,2,2,2,4,4,0,0,6,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,0,1,0,1,8,3,2,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,11,9,3,3,3,11,10,9,2,2,2,2,2,2,2,4,4,2,2,0,0,8,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,0,3,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,11,3,3,3,3,9,9,0,2,2,2,2,2,4,4,2,2,2,8,0,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,0,2,0,0,0,1,0,0,0,0,2,1,3,3,0,1,10,10,10,10,9,9,10,10,10,10,9,9,9,9,9,9,9,9,3,3,3,9,9,3,3,3,3,11,10,11,2,2,2,2,2,2,2,2,2,2,0,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,10,10,9,9,9,9,9,9,9,9,10,10,9,9,9,9,9,9,9,3,3,3,9,9,9,11,3,3,3,11,10,2,2,2,2,2,2,2,2,2,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,1,1,0,8,0,1,1,0,3,0,1,3,0,0,1,0,1,9,10,9,9,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,3,3,3,9,9,9,9,9,3,3,3,11,9,2,2,2,2,2,2,2,2,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,3,3,3,3,9,3,3,3,3,3,9,0,9,9,9,3,3,3,3,3,9,9,9,9,9,9,3,3,11,3,2,2,2,2,2,2,0,2,2,2,11,11,11,5,5,5,5,5,5,12,0,0,0,0,0,5,5,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,9,9,9,3,3,3,3,3,9,3,3,3,3,11,3,9,11,11,3,3,3,3,9,3,9,9,9,9,9,9,3,3,11,3,2,2,2,2,0,0,2,2,2,12,12,12,5,5,5,5,5,5,0,0,0,0,0,0,5,5,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,3,3,9,9,3,3,3,3,3,3,3,3,3,3,11,3,3,9,9,11,9,3,3,3,9,3,9,9,9,9,9,9,3,3,11,0,2,2,2,0,0,2,2,2,12,12,12,5,5,5,5,5,5,0,0,0,0,0,0,5,5,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,9,11,3,3,9,9,11,3,3,3,3,11,3,11,11,11,3,3,3,9,9,9,10,11,3,3,3,9,9,9,9,9,9,9,9,3,3,3,2,2,0,0,0,2,12,12,8,12,12,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,11,3,3,3,9,3,3,3,3,3,3,11,3,3,9,3,3,3,9,9,9,9,10,11,3,3,9,9,9,9,9,9,9,9,9,3,3,2,2,0,0,0,12,12,12,11,11,11,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0
